Location,Area,BHK,Bathrooms,Property Age,Furnishing Status,Amenities,Price,price_per_sqft,property_age_group,luxury_score
HSR Layout,982,2,2,0,Furnished,"Children's Play Area, Clubhouse, Jogging Track, Swimming Pool",8880000.0,9042.77,New (0-3 yrs),3.57
HSR Layout,2758,4,3,23,Semi-Furnished,"24/7 Security, Covered Parking, Gym",20840000.0,7556.2,Old (20+ yrs),2.32
Electronic City,1798,3,3,3,Semi-Furnished,"24/7 Security, Clubhouse, Gym, Jogging Track, Landscaped Garden, Swimming Pool",10970000.0,6101.22,New (0-3 yrs),5.36
Whitefield,3470,5,5,1,Furnished,"Children's Play Area, Clubhouse, Covered Parking, Landscaped Garden, Tennis Court",24080000.0,6939.48,New (0-3 yrs),4.46
Yelahanka,1626,3,3,8,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Jogging Track, Swimming Pool",9290000.0,5713.41,Modern (4-10 yrs),5.18
Indiranagar,2705,4,4,0,Semi-Furnished,"High-Speed Elevators, Jogging Track, Power Backup",35620000.0,13168.21,New (0-3 yrs),2.14
Hebbal,1653,3,2,10,Semi-Furnished,"Children's Play Area, Intercom, Power Backup, Swimming Pool",13490000.0,8160.92,Modern (4-10 yrs),3.12
Electronic City,948,2,2,0,Semi-Furnished,"Covered Parking, Gym, Intercom, Landscaped Garden, Power Backup, Swimming Pool",4680000.0,4936.71,New (0-3 yrs),4.91
Marathahalli,1529,3,3,5,Semi-Furnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Intercom, Power Backup",9680000.0,6330.94,Modern (4-10 yrs),4.29
Banashankari,1469,3,3,8,Semi-Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Swimming Pool, Tennis Court",12110000.0,8243.7,Modern (4-10 yrs),5.18
Marathahalli,1498,3,2,5,Furnished,"24/7 Security, High-Speed Elevators, Power Backup, Swimming Pool",11510000.0,7683.58,Modern (4-10 yrs),3.66
Koramangala,1241,2,2,15,Semi-Furnished,"Power Backup, Tennis Court",12970000.0,10451.25,Established (11-20 yrs),1.96
Yelahanka,1111,2,2,1,Furnished,"Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden",6290000.0,5661.57,New (0-3 yrs),3.57
Electronic City,652,1,1,8,Semi-Furnished,"24/7 Security, Landscaped Garden, Power Backup",2920000.0,4478.53,Modern (4-10 yrs),2.23
Whitefield,1152,2,2,0,Semi-Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Jogging Track",6370000.0,5529.51,New (0-3 yrs),2.77
Marathahalli,1494,3,2,0,Furnished,"24/7 Security, High-Speed Elevators, Landscaped Garden, Swimming Pool, Tennis Court",13550000.0,9069.61,New (0-3 yrs),5.0
Koramangala,462,1,1,10,Furnished,"Clubhouse, Covered Parking, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",5360000.0,11601.73,Modern (4-10 yrs),5.09
Malleshwaram,1044,2,1,6,Semi-Furnished,"Clubhouse, Gym, Intercom, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",10720000.0,10268.2,Modern (4-10 yrs),5.8
Bellandur,1129,2,2,1,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, Intercom, Landscaped Garden",9040000.0,8007.09,New (0-3 yrs),4.64
Yelahanka,1227,2,2,15,Semi-Furnished,"24/7 Security, Clubhouse, Swimming Pool, Tennis Court",5830000.0,4751.43,Established (11-20 yrs),4.38
Sarjapur Road,2306,4,4,17,Unfurnished,"Covered Parking, Intercom",13200000.0,5724.2,Established (11-20 yrs),1.16
Indiranagar,913,2,1,4,Furnished,"Covered Parking, Landscaped Garden",9310000.0,10197.15,Modern (4-10 yrs),1.52
Hebbal,1267,2,1,21,Semi-Furnished,"Children's Play Area, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",9880000.0,7797.95,Old (20+ yrs),4.55
Bellandur,4296,5,4,7,Semi-Furnished,"24/7 Security, Jogging Track, Landscaped Garden",37720000.0,8780.26,Modern (4-10 yrs),2.05
Malleshwaram,2706,4,4,1,Unfurnished,"Covered Parking, Gym, High-Speed Elevators, Landscaped Garden, Power Backup",31490000.0,11637.1,New (0-3 yrs),4.02
Koramangala,1815,3,2,6,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Intercom",19540000.0,10765.84,Modern (4-10 yrs),2.86
Marathahalli,4095,5,5,8,Semi-Furnished,"Clubhouse, Intercom, Power Backup, Swimming Pool",30070000.0,7343.1,Modern (4-10 yrs),3.57
Malleshwaram,1722,3,3,8,Unfurnished,"Clubhouse, Intercom, Jogging Track, Landscaped Garden",18580000.0,10789.78,Modern (4-10 yrs),2.86
Koramangala,2137,4,3,3,Semi-Furnished,"Children's Play Area, Clubhouse, Power Backup, Swimming Pool, Tennis Court",29590000.0,13846.51,New (0-3 yrs),5.0
HSR Layout,1542,3,3,4,Unfurnished,"Children's Play Area, Clubhouse, Covered Parking, Intercom, Landscaped Garden",13730000.0,8904.02,Modern (4-10 yrs),3.66
Electronic City,800,2,2,9,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, Jogging Track, Power Backup",4240000.0,5300.0,Modern (4-10 yrs),4.55
Whitefield,1624,3,3,24,Semi-Furnished,"24/7 Security, Clubhouse, Swimming Pool",7990000.0,4919.95,Old (20+ yrs),3.12
Banashankari,2389,4,4,2,Unfurnished,"Children's Play Area, Covered Parking, High-Speed Elevators",15730000.0,6584.34,New (0-3 yrs),2.23
Thanisandra,2105,3,3,2,Furnished,"Covered Parking, Gym, Intercom, Power Backup, Tennis Court",13170000.0,6256.53,New (0-3 yrs),4.02
Bellandur,1733,3,3,1,Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Power Backup, Swimming Pool, Tennis Court",16870000.0,9734.56,New (0-3 yrs),6.34
Malleshwaram,1202,2,2,5,Semi-Furnished,"24/7 Security, Clubhouse, Landscaped Garden, Power Backup, Swimming Pool",11900000.0,9900.17,Modern (4-10 yrs),4.64
Whitefield,1667,3,3,15,Semi-Furnished,"Covered Parking, Gym, Jogging Track, Tennis Court",9600000.0,5758.85,Established (11-20 yrs),3.39
Whitefield,1470,3,3,22,Unfurnished,"24/7 Security, Clubhouse, Gym, High-Speed Elevators, Landscaped Garden",6770000.0,4605.44,Old (20+ yrs),4.38
Yelahanka,1949,3,3,0,Semi-Furnished,"24/7 Security, Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden",12890000.0,6613.65,New (0-3 yrs),5.36
Jayanagar,1091,2,2,2,Furnished,"Children's Play Area, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden",12970000.0,11888.18,New (0-3 yrs),3.3
HSR Layout,1492,3,2,16,Unfurnished,"High-Speed Elevators, Intercom, Jogging Track, Power Backup, Swimming Pool, Tennis Court",11170000.0,7486.6,Established (11-20 yrs),5.18
Koramangala,2085,3,2,4,Semi-Furnished,"24/7 Security, Intercom, Jogging Track, Swimming Pool",28120000.0,13486.81,Modern (4-10 yrs),3.04
Koramangala,1084,2,2,6,Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Landscaped Garden",14330000.0,13219.56,Modern (4-10 yrs),3.84
Electronic City,1196,2,1,4,Unfurnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Tennis Court",5480000.0,4581.94,Modern (4-10 yrs),5.71
Yelahanka,713,1,1,6,Semi-Furnished,"24/7 Security, Clubhouse, Gym, High-Speed Elevators, Jogging Track, Tennis Court",4480000.0,6283.31,Modern (4-10 yrs),5.36
Koramangala,1716,3,3,1,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Swimming Pool, Tennis Court",22760000.0,13263.4,New (0-3 yrs),7.77
Electronic City,1169,2,2,2,Semi-Furnished,"Covered Parking, Gym, Intercom, Landscaped Garden, Power Backup, Swimming Pool",6190000.0,5295.12,New (0-3 yrs),4.91
Thanisandra,1165,2,1,17,Semi-Furnished,"Children's Play Area, Swimming Pool",6190000.0,5313.3,Established (11-20 yrs),1.96
Malleshwaram,1243,2,2,0,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup",12340000.0,9927.59,New (0-3 yrs),6.25
Marathahalli,951,2,2,6,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Jogging Track, Power Backup, Tennis Court",6730000.0,7076.76,Modern (4-10 yrs),6.7
Malleshwaram,1503,3,2,3,Furnished,"Intercom, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",19040000.0,12668.0,New (0-3 yrs),3.75
Marathahalli,1458,3,2,5,Unfurnished,"24/7 Security, Children's Play Area, Gym, Swimming Pool, Tennis Court",9200000.0,6310.01,Modern (4-10 yrs),4.82
Sarjapur Road,1300,3,2,5,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Landscaped Garden",10020000.0,7707.69,Modern (4-10 yrs),3.21
Koramangala,1719,3,2,0,Unfurnished,"24/7 Security, Gym, Intercom, Power Backup",22170000.0,12897.03,New (0-3 yrs),2.77
Jayanagar,1100,2,2,4,Semi-Furnished,"Intercom, Landscaped Garden, Power Backup, Swimming Pool",11990000.0,10900.0,Modern (4-10 yrs),3.3
HSR Layout,1261,2,2,7,Furnished,"Intercom, Jogging Track, Landscaped Garden",11100000.0,8802.54,Modern (4-10 yrs),1.79
