Location,Area,BHK,Bathrooms,Property Age,Furnishing Status,Amenities,Price
HSR Layout,982,2,2.0,0.0,Furnished,"Children's Play Area, Clubhouse, Jogging Track, Swimming Pool",8880000
HSR Layout,2758,4,3.0,23.0,Semi-Furnished,"24/7 Security, Covered Parking, Gym",20840000
Electronic City,1798,3,3.0,3.0,,"24/7 Security, Clubhouse, Gym, Jogging Track, Landscaped Garden, Swimming Pool",10970000
Whitefield,3470,5,5.0,1.0,Furnished,"Children's Play Area, Clubhouse, Covered Parking, Landscaped Garden, Tennis Court",24080000
Yelahanka,1626,3,3.0,8.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Jogging Track, Swimming Pool",9290000
Indiranagar,2705,4,4.0,0.0,Semi-Furnished,"High-Speed Elevators, Jogging Track, Power Backup",35620000
Hebbal,1653,3,2.0,10.0,Semi-Furnished,"Children's Play Area, Intercom, Power Backup, Swimming Pool",13490000
Electronic City,948,2,2.0,0.0,Semi-Furnished,"Covered Parking, Gym, Intercom, Landscaped Garden, Power Backup, Swimming Pool",4680000
Marathahalli,1529,3,3.0,5.0,Semi-Furnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Intercom, Power Backup",9680000
Banashankari,1469,3,3.0,8.0,Semi-Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Swimming Pool, Tennis Court",12110000
Marathahalli,1498,3,2.0,5.0,Furnished,"24/7 Security, High-Speed Elevators, Power Backup, Swimming Pool",11510000
Koramangala,1241,2,2.0,15.0,Semi-Furnished,"Power Backup, Tennis Court",12970000
Yelahanka,1111,2,2.0,1.0,Furnished,"Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden",6290000
Electronic City,652,1,1.0,8.0,Semi-Furnished,"24/7 Security, Landscaped Garden, Power Backup",2920000
Whitefield,1152,2,2.0,0.0,Semi-Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Jogging Track",6370000
Marathahalli,1494,3,2.0,0.0,Furnished,"24/7 Security, High-Speed Elevators, Landscaped Garden, Swimming Pool, Tennis Court",13550000
Koramangala,462,1,1.0,10.0,Furnished,"Clubhouse, Covered Parking, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",5360000
Malleshwaram,1044,2,1.0,6.0,Semi-Furnished,"Clubhouse, Gym, Intercom, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",10720000
Bellandur,1129,2,2.0,1.0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, Intercom, Landscaped Garden",9040000
Yelahanka,1227,2,2.0,15.0,Semi-Furnished,"24/7 Security, Clubhouse, Swimming Pool, Tennis Court",5830000
Sarjapur Road,2306,4,4.0,17.0,Unfurnished,"Covered Parking, Intercom",13200000
Indiranagar,913,2,1.0,4.0,Furnished,"Covered Parking, Landscaped Garden",9310000
Hebbal,1267,2,1.0,21.0,Semi-Furnished,"Children's Play Area, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",9880000
Bellandur,4296,5,4.0,7.0,Semi-Furnished,"24/7 Security, Jogging Track, Landscaped Garden",37720000
